Iteration,Model,Accuracy,Precision,Recall,F1-Score
46,Hybrid (RNN + GRU + LSTM + CNN 1D + CNN 2D),0.9575757575757575,0.9491525423728814,0.9710982658959537,0.96
47,Hybrid (RNN + GRU + LSTM + CNN 1D + CNN 2D),0.9515151515151515,0.9460227272727273,0.9624277456647399,0.9541547277936963
48,Hybrid (RNN + GRU + LSTM + CNN 1D + CNN 2D),0.9363636363636364,0.9662576687116564,0.9104046242774566,0.9375
49,Hybrid (RNN + GRU + LSTM + CNN 1D + CNN 2D),0.9606060606060606,0.9733727810650887,0.9508670520231214,0.9619883040935673
50,Hybrid (RNN + GRU + LSTM + CNN 1D + CNN 2D),0.9545454545454546,0.9514285714285714,0.9624277456647399,0.9568965517241379
51,Hybrid (RNN + GRU + LSTM + CNN 1D + CNN 2D),0.9515151515151515,0.953757225433526,0.953757225433526,0.953757225433526
52,Hybrid (RNN + GRU + LSTM + CNN 1D + CNN 2D),0.946969696969697,0.9533527696793003,0.9450867052023122,0.9492017416545718
53,Hybrid (RNN + GRU + LSTM + CNN 1D + CNN 2D),0.9590909090909091,0.9623188405797102,0.9595375722543352,0.9609261939218524
54,Hybrid (RNN + GRU + LSTM + CNN 1D + CNN 2D),0.953030303030303,0.9538904899135446,0.9566473988439307,0.9552669552669553
55,Hybrid (RNN + GRU + LSTM + CNN 1D + CNN 2D),0.9484848484848485,0.9482758620689655,0.953757225433526,0.9510086455331412
56,Hybrid (RNN + GRU + LSTM + CNN 1D + CNN 2D),0.9409090909090909,0.9423631123919308,0.9450867052023122,0.9437229437229437
57,Hybrid (RNN + GRU + LSTM + CNN 1D + CNN 2D),0.9484848484848485,0.9642857142857143,0.9364161849710982,0.9501466275659824
58,Hybrid (RNN + GRU + LSTM + CNN 1D + CNN 2D),0.9621212121212122,0.967930029154519,0.9595375722543352,0.9637155297532656
59,Hybrid (RNN + GRU + LSTM + CNN 1D + CNN 2D),0.95,0.956268221574344,0.9479768786127167,0.9521044992743106
60,Hybrid (RNN + GRU + LSTM + CNN 1D + CNN 2D),0.9378787878787879,0.9155313351498637,0.9710982658959537,0.9424964936886395
61,Hybrid (RNN + GRU + LSTM + CNN 1D + CNN 2D),0.946969696969697,0.9380281690140845,0.9624277456647399,0.9500713266761769
62,Hybrid (RNN + GRU + LSTM + CNN 1D + CNN 2D),0.9515151515151515,0.9410112359550562,0.9682080924855492,0.9544159544159544
63,Hybrid (RNN + GRU + LSTM + CNN 1D + CNN 2D),0.9484848484848485,0.9508670520231214,0.9508670520231214,0.9508670520231214
64,Hybrid (RNN + GRU + LSTM + CNN 1D + CNN 2D),0.9606060606060606,0.9705882352941176,0.953757225433526,0.9620991253644315
65,Hybrid (RNN + GRU + LSTM + CNN 1D + CNN 2D),0.9409090909090909,0.9501466275659824,0.9364161849710982,0.9432314410480349
66,Hybrid (RNN + GRU + LSTM + CNN 1D + CNN 2D),0.9484848484848485,0.9333333333333333,0.9710982658959537,0.9518413597733711
67,Hybrid (RNN + GRU + LSTM + CNN 1D + CNN 2D),0.956060606060606,0.9648093841642229,0.9508670520231214,0.9577874818049491
68,Hybrid (RNN + GRU + LSTM + CNN 1D + CNN 2D),0.946969696969697,0.9507246376811594,0.9479768786127167,0.9493487698986975
69,Hybrid (RNN + GRU + LSTM + CNN 1D + CNN 2D),0.9575757575757575,0.9542857142857143,0.9653179190751445,0.9597701149425287
70,Hybrid (RNN + GRU + LSTM + CNN 1D + CNN 2D),0.95,0.943342776203966,0.9624277456647399,0.9527896995708155
71,Hybrid (RNN + GRU + LSTM + CNN 1D + CNN 2D),0.9515151515151515,0.9700598802395209,0.9364161849710982,0.9529411764705882
72,Hybrid (RNN + GRU + LSTM + CNN 1D + CNN 2D),0.9393939393939394,0.9322033898305084,0.953757225433526,0.9428571428571428
73,Hybrid (RNN + GRU + LSTM + CNN 1D + CNN 2D),0.953030303030303,0.9512893982808023,0.9595375722543352,0.9553956834532374
74,Hybrid (RNN + GRU + LSTM + CNN 1D + CNN 2D),0.9333333333333333,0.9037433155080213,0.976878612716763,0.9388888888888889
75,Hybrid (RNN + GRU + LSTM + CNN 1D + CNN 2D),0.95,0.9536231884057971,0.9508670520231214,0.9522431259044862
76,Hybrid (RNN + GRU + LSTM + CNN 1D + CNN 2D),0.946969696969697,0.9307479224376731,0.9710982658959537,0.9504950495049505
77,Hybrid (RNN + GRU + LSTM + CNN 1D + CNN 2D),0.9575757575757575,0.9466292134831461,0.9739884393063584,0.9601139601139601
78,Hybrid (RNN + GRU + LSTM + CNN 1D + CNN 2D),0.9484848484848485,0.9482758620689655,0.953757225433526,0.9510086455331412
79,Hybrid (RNN + GRU + LSTM + CNN 1D + CNN 2D),0.9378787878787879,0.9224376731301939,0.9624277456647399,0.942008486562942
