model_name,true_negative,false_positive,false_negative,true_positive
SVM,293,21,29,317
SVM,293,21,29,317
SVM,293,21,30,316
SVM,293,21,30,316
SVM,293,21,29,317
SVM,293,21,29,317
SVM,293,21,29,317
SVM,293,21,29,317
SVM,293,21,30,316
SVM,293,21,29,317
SVM,293,21,30,316
SVM,293,21,30,316
SVM,293,21,29,317
SVM,293,21,29,317
SVM,293,21,29,317
SVM,293,21,29,317
SVM,293,21,29,317
SVM,293,21,29,317
SVM,293,21,29,317
SVM,293,21,29,317
SVM,293,21,29,317
SVM,293,21,30,316
SVM,293,21,30,316
SVM,293,21,29,317
SVM,293,21,29,317
SVM,293,21,29,317
SVM,293,21,29,317
SVM,293,21,30,316
SVM,293,21,29,317
SVM,293,21,29,317
SVM,293,21,30,316
SVM,293,21,29,317
SVM,293,21,29,317
SVM,293,21,30,316
SVM,293,21,30,316
SVM,293,21,29,317
SVM,293,21,29,317
SVM,293,21,29,317
SVM,293,21,30,316
SVM,293,21,29,317
KNN,289,25,23,323
KNN,289,25,23,323
KNN,289,25,23,323
KNN,289,25,23,323
KNN,289,25,23,323
KNN,289,25,23,323
KNN,289,25,23,323
KNN,289,25,23,323
KNN,289,25,23,323
KNN,289,25,23,323
KNN,289,25,23,323
KNN,289,25,23,323
KNN,289,25,23,323
KNN,289,25,23,323
KNN,289,25,23,323
KNN,289,25,23,323
KNN,289,25,23,323
KNN,289,25,23,323
KNN,289,25,23,323
KNN,289,25,23,323
KNN,289,25,23,323
KNN,289,25,23,323
KNN,289,25,23,323
KNN,289,25,23,323
KNN,289,25,23,323
KNN,289,25,23,323
KNN,289,25,23,323
KNN,289,25,23,323
KNN,289,25,23,323
KNN,289,25,23,323
KNN,289,25,23,323
KNN,289,25,23,323
KNN,289,25,23,323
KNN,289,25,23,323
KNN,289,25,23,323
KNN,289,25,23,323
KNN,289,25,23,323
KNN,289,25,23,323
KNN,289,25,23,323
KNN,289,25,23,323
KNN,289,25,23,323
KNN,289,25,23,323
KNN,289,25,23,323
KNN,289,25,23,323
KNN,289,25,23,323
KNN,289,25,23,323
KNN,289,25,23,323
KNN,289,25,23,323
KNN,289,25,23,323
KNN,289,25,23,323
Gradient Boosting,279,35,19,327
Gradient Boosting,279,35,19,327
Gradient Boosting,279,35,19,327
Gradient Boosting,279,35,19,327
Gradient Boosting,279,35,19,327
Gradient Boosting,279,35,19,327
Gradient Boosting,279,35,19,327
Gradient Boosting,279,35,19,327
Gradient Boosting,279,35,19,327
Gradient Boosting,279,35,19,327
Gradient Boosting,279,35,19,327
Gradient Boosting,279,35,19,327
Gradient Boosting,279,35,19,327
Gradient Boosting,279,35,19,327
Gradient Boosting,279,35,19,327
Gradient Boosting,279,35,19,327
Gradient Boosting,279,35,19,327
Gradient Boosting,279,35,19,327
Gradient Boosting,279,35,19,327
Gradient Boosting,279,35,19,327
Gradient Boosting,279,35,19,327
Gradient Boosting,279,35,19,327
Gradient Boosting,279,35,19,327
Gradient Boosting,279,35,19,327
Gradient Boosting,279,35,19,327
Gradient Boosting,279,35,19,327
Gradient Boosting,279,35,19,327
Gradient Boosting,279,35,19,327
Gradient Boosting,279,35,19,327
Gradient Boosting,279,35,19,327
Gradient Boosting,279,35,19,327
Gradient Boosting,279,35,19,327
Gradient Boosting,279,35,19,327
Gradient Boosting,279,35,19,327
Gradient Boosting,279,35,19,327
Gradient Boosting,279,35,19,327
Gradient Boosting,279,35,19,327
Gradient Boosting,279,35,19,327
Gradient Boosting,279,35,19,327
Gradient Boosting,279,35,19,327
Gradient Boosting,279,35,19,327
Gradient Boosting,279,35,19,327
Gradient Boosting,279,35,19,327
Gradient Boosting,279,35,19,327
Gradient Boosting,279,35,19,327
Gradient Boosting,279,35,19,327
Gradient Boosting,279,35,19,327
Gradient Boosting,279,35,19,327
Gradient Boosting,279,35,19,327
Gradient Boosting,279,35,19,327
Neural Network,303,11,29,317
Neural Network,296,18,14,332
Neural Network,298,16,22,324
Neural Network,297,17,16,330
Neural Network,296,18,17,329
Neural Network,298,16,17,329
Neural Network,288,26,13,333
Neural Network,294,20,15,331
Neural Network,298,16,17,329
Neural Network,289,25,12,334
Neural Network,296,18,14,332
Neural Network,296,18,9,337
Neural Network,293,21,11,335
Neural Network,296,18,12,334
Neural Network,291,23,10,336
Neural Network,293,21,13,333
Neural Network,295,19,8,338
Neural Network,295,19,16,330
Neural Network,295,19,15,331
Neural Network,292,22,11,335
Neural Network,292,22,11,335
Neural Network,295,19,8,338
Neural Network,297,17,11,335
Neural Network,296,18,18,328
Neural Network,287,27,11,335
Neural Network,292,22,10,336
Neural Network,290,24,12,334
Neural Network,281,33,8,338
